I	J	Score	Match	NoMatch
92	29	2.14908e+09	11948.3	426137
30	126	1.3574e+10	63998.5	394007
84	26	1.96884e+09	55120.8	296862
193	102	1.92027e+10	47379.1	618009
191	199	1.01964e+09	61727.4	314147
67	100	4.98295e+08	70513.9	265305
156	154	1.5534e+09	22325.2	330485
159	109	1.18488e+10	18441.3	294309
78	0	3.19051e+09	52466.4	471926
92	100	8.42746e+08	44964.4	345967
189	100	1.54566e+10	79276.7	420900
84	35	2.14983e+09	48009.9	291805
142	121	3.99533e+09	44425.4	429730
52	199	8.69074e+09	51735.9	428045
195	52	1.70512e+10	43756.2	777152
104	120	1.72319e+10	50572.6	436822
30	210	1.23198e+10	42320.3	492146
207	162	9.6841e+09	34700	999184
191	126	4.48274e+09	47847.9	276465
84	79	7.74384e+08	85573.6	263869
21	159	2.14172e+10	87908.4	633899
189	72	1.55498e+10	74861.9	434791
67	72	6.37421e+08	22146.7	323148
162	84	2.39287e+10	38154.4	662496
92	72	7.91954e+08	55030.8	345377
159	8	1.11612e+10	36309.3	327729
165	83	2.47817e+10	26382.3	797312
