"NeuronUID","SampleID","Region","Side","ap_y","ml_x","total_ipsi","total_contra","has_any_contra","Ibias"
"252385::038.swc",252385,"IAL","L",206.676,74.168,2091.679,0,FALSE,-1
"252385::039.swc",252385,"IAL","L",205.484,75.378,82.3999999999999,0,FALSE,-1
"252385::040.swc",252385,"IAL","L",206.506,74.196,387.942,0,FALSE,-1
"252385::041.swc",252385,"IAL","L",207.459,74.498,110.779000000001,0,FALSE,-1
"252385::042.swc",252385,"IAL","L",208.442,74.991,40.9789999999999,0,FALSE,-1
"252385::043.swc",252385,"IAL","L",209.073,75.95,43.3,0,FALSE,-1
"252385::044.swc",252385,"IAL","L",207.16,77.592,141.225000000002,0,FALSE,-1
"252385::045.swc",252385,"IAL","L",208.53,78.439,104.292,0,FALSE,-1
"252385::046.swc",252385,"IAL","L",210.3,77.136,2348.57799999999,0,FALSE,-1
"252385::053.swc",252385,"IAL","R",219.0492,196.201,267.565000000001,0,FALSE,-1
"252385::054.swc",252385,"IAL","R",218.8489,196.6544,40.32,0,FALSE,-1
"252385::055.swc",252385,"IAL","R",220.6792,196.1472,301.357000000002,0,FALSE,-1
"252385::056.swc",252385,"IAL","R",218.7842,195.1431,140.902000000002,0,FALSE,-1
"252385::057.swc",252385,"IAL","R",219.9139,195.6642,45.3459999999998,0,FALSE,-1
"252385::058.swc",252385,"IAL","R",217.1767,195.9962,47.6619999999999,0,FALSE,-1
"252385::059.swc",252385,"IAL","R",217.278,196.3642,12.383,0,FALSE,-1
"252385::060.swc",252385,"IAL","R",218.5447,196.5034,182.925,0,FALSE,-1
"252385::061.swc",252385,"IAL","R",218.1859,195.9945,122.687000000002,0,FALSE,-1
"252385::062.swc",252385,"IAL","R",219.3808,196.4725,121.394000000001,0,FALSE,-1
"252385::063.swc",252385,"IAL","R",211.459,192.6292,837.428999999996,0,FALSE,-1
"252385::064.swc",252385,"IAL","R",216.7038,192.83,108.638000000002,0,FALSE,-1
"252385::065.swc",252385,"IAL","R",219.9862,195.023,139.484000000002,0,FALSE,-1
"252385::066.swc",252385,"IAL","R",212.3912,194.4202,218.784000000002,0,FALSE,-1
"252385::067.swc",252385,"IAL","R",216.6004,192.331,214.493000000002,0,FALSE,-1
"252385::068.swc",252385,"IAL","R",216.725,192.5548,353.291000000002,0,FALSE,-1
"252385::069.swc",252385,"IAL","R",218.2082,194.7189,79.1989999999998,0,FALSE,-1
